Mental_Health_Issue,Advice,Recommended_Supplements
Anxiety,Practice deep breathing exercises and mindfulness meditation.,"Magnesium, L-Theanine, Ashwagandha"
Depression,Engage in regular physical activity and cognitive behavioral therapy.,"Omega-3 fatty acids, Vitamin D, SAM-e"
Insomnia,Maintain a consistent sleep schedule and avoid caffeine before bed.,"Melatonin, Valerian Root, Chamomile Tea"
Stress,Try relaxation techniques like yoga and progressive muscle relaxation.,"Rhodiola Rosea, B-complex vitamins, Green Tea Extract"
ADHD,Use task management strategies and take regular breaks.,"Zinc, Iron, Omega-3 Fatty Acids"
PTSD,Seek trauma-focused therapy and practice grounding techniques.,"Curcumin, Magnesium, Vitamin B6"
Bipolar Disorder,Follow a structured routine and track mood changes.,"NAC (N-Acetyl Cysteine), Lithium Orotate, Omega-3"
OCD,Use exposure and response prevention therapy techniques.,"Inositol, N-Acetyl Cysteine, 5-HTP"
Schizophrenia,Maintain a strong support system and stick to prescribed medication.,"Ginkgo Biloba, Vitamin B12, Antioxidants"
Panic Disorder,Practice controlled breathing and avoid triggers.,"L-Theanine, Passionflower, GABA"
